class,fpr,tpr,threshold
Pneumonia,0.0,0.0,inf
Pneumonia,0.0,0.00156,0.901984
Pneumonia,0.0,0.063963,0.818857
Pneumonia,0.0,0.067083,0.818261
Pneumonia,0.0,0.789392,0.722557
Pneumonia,0.0,0.792512,0.722195
Pneumonia,0.0,0.882995,0.670143
Pneumonia,0.004202,0.882995,0.669942
Pneumonia,0.004202,0.964119,0.407549
Pneumonia,0.008403,0.964119,0.388151
Pneumonia,0.008403,0.967239,0.363659
Pneumonia,0.012605,0.967239,0.325256
Pneumonia,0.012605,0.970359,0.313266
Pneumonia,0.016807,0.970359,0.277564
Pneumonia,0.016807,0.971919,0.248978
Pneumonia,0.021008,0.971919,0.232472
Pneumonia,0.021008,0.973479,0.231056
Pneumonia,0.02521,0.973479,0.230167
Pneumonia,0.02521,0.978159,0.161458
Pneumonia,0.029412,0.978159,0.158898
Pneumonia,0.029412,0.982839,0.126709
Pneumonia,0.05042,0.982839,0.089532
Pneumonia,0.05042,0.984399,0.083386
Pneumonia,0.063025,0.984399,0.072871
Pneumonia,0.063025,0.985959,0.053497
Pneumonia,0.07563,0.985959,0.045891
Pneumonia,0.07563,0.98752,0.040063
Pneumonia,0.079832,0.98752,0.034375
Pneumonia,0.079832,0.99064,0.032039
Pneumonia,0.084034,0.99064,0.030752
Pneumonia,0.084034,0.9922,0.029705
Pneumonia,0.10084,0.9922,0.023217
Pneumonia,0.10084,0.99376,0.022578
Pneumonia,0.12605,0.99376,0.019157
Pneumonia,0.12605,0.99532,0.018106
Pneumonia,0.151261,0.99532,0.01689
Pneumonia,0.151261,0.99688,0.016745
Pneumonia,0.155462,0.99688,0.016643
Pneumonia,0.155462,0.99844,0.016323
Pneumonia,0.331933,0.99844,0.010932
Pneumonia,0.331933,1.0,0.010914
Pneumonia,1.0,1.0,0.001165
